,names,pvals_adj,logfoldchanges
0,GRN,2.3059800590783516e-06,1.7463721
1,MTND1P23,2.443207998874155e-06,2.1804574
2,MTATP6P1,1.3902794604613805e-05,0.41948396
61,RPS4Y1,2.0346975213956082e-05,-2.0592165
3,XIST,7.058520944115112e-05,2.2609534
4,TSIX,8.770075922515382e-05,2.1546311
5,MTND5P11,0.00010887636256157521,1.4599257
60,HSP90AB1,0.00012515437356463977,-0.6361565
6,ATP5F1D,0.00029521645285349423,1.1529367
7,ARPC1B,0.0005161295439217625,1.4440562
8,HLA-A,0.0005161295439217625,1.0778188
9,CTSD,0.0005161295439217625,1.2535629
10,LGALS3BP,0.0008051211060453742,1.35714
11,SERPINA1,0.0022958965150728914,2.0008633
12,MT-CO2,0.002790917607667618,0.35956335
13,DPM2,0.0033508026325675213,1.3251182
14,ATP6V0E2,0.0038222296224621026,1.374982
15,JUNB,0.004667872854413385,1.1681939
18,DDR1,0.00499474133894088,1.0894626
16,MT-ND4,0.00499474133894088,0.34968835
17,MT-RNR1,0.00499474133894088,0.49399492
19,CTSB,0.00600978548585577,1.2212347
20,RASD1,0.00600978548585577,1.2702471
21,MTCO1P40,0.006750811626957654,1.5551472
22,MTCO1P12,0.008407448502353955,1.0709358
23,NDUFA13,0.008574748887450476,0.7702345
24,CTSA,0.01072100126947225,1.3048456
59,RPL7,0.01072100126947225,-0.6795583
25,WDR83OS,0.01180101099635881,0.8445702
26,MIF,0.014315924108049424,0.6933896
27,PHPT1,0.014315924108049424,0.8998029
58,HSP90AA1,0.014914055957643352,-0.51670724
28,ROMO1,0.016470399393301843,0.6388515
29,AL671277.1,0.016650711567560907,0.9750509
30,MIF-AS1,0.01779666770312867,0.591741
32,OAZ1,0.018982188363600445,0.37870365
31,SERF2,0.018982188363600445,0.3287762
33,MICOS13,0.019183829685231087,0.96906036
34,PKM,0.019184789199679163,0.91370445
35,PRMT2,0.019781384801276183,1.242636
38,TLE5,0.019781384801276183,0.98028916
36,CNP,0.019781384801276183,1.2186588
37,APRT,0.019781384801276183,1.0595526
39,C4orf48,0.0224694648854384,0.95296186
40,DUT,0.024956867413233833,1.2072672
57,CNBP,0.02510163324143344,-0.43183163
41,HLA-C,0.026424546460021518,0.74690866
42,ACADVL,0.0268332103591254,1.1226333
43,AP4M1,0.0268332103591254,1.5036757
44,PRR13,0.028953314536984597,1.0263561
45,CSTB,0.02972576401355995,0.8111963
46,PRDX5,0.02972576401355995,0.7919917
47,AKAP9,0.030452639758460506,1.0221993
48,MRPL41,0.035659411801345166,1.0121039
51,RTL8C,0.04283505270155982,0.8720371
49,GLB1,0.04283505270155982,1.2814856
50,RBM7,0.04283505270155982,1.1010416
52,UQCRQ,0.0439106978265107,0.48468512
53,MT-ND6,0.04482668885175772,0.36532748
54,TOLLIP,0.04684844002563073,1.0754035
55,UQCC2,0.048437859677614936,0.9605994
56,ACLY,0.04898496478199717,1.1281512
